Index,Date,News
10,2/10/2018,"['Two Ohio Police Officers Killed Responding to 911 Hangup Call, Officials Say', 'Fox News Column Mocking Olympic Team Diversity Draws Outrage', 'One Cause of Market Turbulence: Computer-Driven Index Funds', 'After Settling With Uber, Waymo Faces Bigger Challenges', 'Las Vegas Gunman’s Brain Exam Only Deepens Mystery of His Actions', 'The Childhood Journeys That Made Them ‘Dreamers’', 'Latino Business Group Considers Harassment Allegations Against C.E.O.', 'Michigan Teenager Expected to Testify at Rape Trial Is Found Dead', 'Where Did Your Pay Raise Go? It May Have Become a Bonus', 'Justin Trudeau’s Motorcade Involved in Minor Crash in California']"
11,2/11/2018,"['Weinstein Company Sale Delayed by N.Y. Attorney General Lawsuit', 'A Famed Fishing Port Shudders as Its Codfather Goes to Jail', 'Vietnam Pulls Request for U.S. Help to Build a Coal-Fired Power Plant', 'Harvard Chooses Lawrence Bacow as Its Next President', 'Steve Wynn’s Tarnished Name and Now a Tainted Brand', 'Trump’s History of Defending Men Accused of Hurting Women', 'Fiery Helicopter Crash in Grand Canyon Kills at Least 3 and Injures 4 others', 'With Qualcomm in Play, San Diego Fears Losing ‘Our Flag’']"
12,2/12/2018,"['Tech’s Ethical ‘Dark Side’: Harvard, Stanford and Others Want to Address It', 'Google Makes Its Special A.I. Chips Available to Others', 'Three Milwaukee Jail Officers Charged in Dehydration Death', 'As China Marches Forward on A.I., the White House Is Silent', 'Planners of Deadly Charlottesville Rally Are Tested in Court', 'Cyberattack Caused Olympic Opening Ceremony Disruption', 'Steven Cohen’s Investment Firm Accused of Hostility to Women', 'A New Shuttle Service, Minus the 1980s Frills', 'Measuring and Managing Your Cellular Data Use', 'Comcast’s Interest in Fox May Force Disney to Raise Its Offer', 'What the Wells Fargo Crackdown Signals to Corporate America', 'A (Largely Irrelevant) Budget, a Report on Prices and an Infrastructure Plan', 'Trump Threatens New Trade Penalties, but It Could Be a Hard Bargain', 'Stocks Record Their Biggest Two-Day Rally Since 2016: DealBook Briefing', 'How Artificial Intelligence Is Edging Its Way Into Our Lives', 'How Trump Plans to Turn $200 Billion Into $1.5 Trillion in Infrastructure Spending', 'Trump Wants to Curb Family-Based Migration. Would Your Family Be Affected?']"
13,2/13/2018,"['Too Much Power to the People? A Food Safety Site Tests the Limits', 'Leader of Latino Business Group Steps Down Amid Sexual Harassment Claims', 'Trump’s Infrastructure Plan Puts Burden on State and Private Money', 'California Today: Would a Qualcomm Takeover Be Bad for San Diego?', 'How Much Is Your Privacy Worth? A Lot, if You’ve Won $560 Million', 'Meth, the Forgotten Killer, Is Back. And It’s Everywhere.', 'Trump Tells Lawmakers He’s Mulling Limits on Imported Steel', 'Will Market Volatility Help Goldman Get Its Groove Back?: DealBook Briefing', 'Big Profits Drove a Stock Boom. Did the Economy Pay a Price?', 'Former Employee Sues Vice, Claiming It Pays Women Less', 'Picking a Default Account in Mac Mail', 'Boom and Gloom: An Economic Warning for California', 'Does a Lawsuit Now Help the Weinstein Victims?', 'Broadcom Now Seeking Fewer of Qualcomm’s Board Seats', 'Recent Commercial Real Estate Transactions', 'YouTube Revamped Its Ad System. AT&T Still Hasn’t Returned.', 'As Work Space, Old Post Offices Have a Timeless Allure', 'Bill and Melinda Gates Tackle ‘Tough Questions’ and Trump']"
14,2/14/2018,"['Chicago Police Commander Killed on Busy Downtown Block', 'After Storm Over Tweets, The Times and a New Hire Part Ways', 'As Uber Eyes I.P.O., Its Losses are Slowing. But They’re Still Big.', 'This Valentine’s Day, Considering Tech That Keeps Couples Together', 'AT&T Is Said to Want Antitrust Official on Witness List for Trial', 'Sampling Twitter (Without an Account)', 'Here’s an Idea for Goldman: Buy Bank of New York Mellon', 'Fears of Overheating May Be Overdone: DealBook Briefing', 'Should Congress Create a Crypto-Cop?', 'Chipotle Takes a Page, and a C.E.O., From Taco Bell', 'Trump’s ‘Harvest Box’ Isn’t Viable in SNAP Overhaul, Officials Say', '$1.8 Billion in India Bank Fraud Raises Fears of Ripple Effects', 'Death Toll Is at 17 and Could Rise in Florida School Shooting', 'Sam’s Club Makes E-Commerce Push With Amazon Prime Competitor', 'How an Abundance of Democratic Candidates Could Help the G.O.P. Hold the House', 'Judges Say Throw Out the Map. Lawmakers Say Throw Out the Judges.', 'California Today: How One Congressman Is Responding to Bad Press', 'Blackstone Gives Investors Continuity, Whether They Wanted It or Not', 'Report Faults V.A. Secretary Shulkin Over Travel to Europe', 'Wall St. Gains as Investors Weigh Inflation and Retail Data', 'Ryan Murphy Heads to Netflix in Deal Said to Be Worth Up to $300 Million', 'How Inflation Works (or Why Your Chicken Is Going to Cost More)']"
15,2/15/2018,"['F.C.C. Watchdog Looks Into Changes That Benefited Sinclair', 'Using Microsoft Apps on a Chromebook', 'Harry’s Raises $112 Million to Move Beyond Shaving', 'More Luxury Buyers Ditch the Imports and Pick Up a Truck', 'California Today: The ‘Grand Central of the West’ or a Glorified Bus Terminal?', 'Nikolas Cruz, Florida Shooting Suspect, Described as a ‘Troubled Kid’', 'The Names and Faces of the Florida School Shooting Victims', 'As the Streaming Wars Heat Up, Ryan Murphy Cashes In', 'Inflation and Stocks Are Both Up, and That’s Stirring Some Worries', 'U.S. Bank Cited by Federal Authorities for Lapses on Money Laundering', 'As Shots Ring Out, a Student Texts: ‘If I Don’t Make It, I Love You’', 'U.S. Bancorp Fined $613 Million for Money-Laundering Violations: DealBook Briefing', 'Suspect Confessed to Police That He Began Shooting Students ‘in the Hallways’', 'In Florida, an AR-15 Is Easier to Buy Than a Handgun', 'Former ICE Lawyer Pleads Guilty to Stealing Immigrants’ Identities to Spend $190,000', 'He Led a Turnaround at Taco Bell. Can He Do It at Chipotle?', 'South Africa Sees Fresh Start for Economy, With the Same Challenges', 'Amazon Moves On Without ‘Transparent’ Actor Jeffrey Tambor', 'NBC Promotes Two Women to Lead Scripted Programming', 'Do You Live in South Africa? We Want to Hear From You', 'Seven Years Old and Kicked Out of Beijing', 'Arrest Papers for Nikolas Cruz', 'Dreamers’ Fate Is Now Tied to Border Wall and Other G.O.P. Immigration Demands', 'Money, Politics and Pollution: Inside a Trump-Era Loophole', 'What Happened in the Parkland School Shooting', 'After Sandy Hook, More Than 400 People Have Been Shot in Over 200 School Shootings']"
16,2/16/2018,"['Google Legally Fired Diversity Memo Author, Labor Agency Says', 'Creating a Point of Return for Windows', 'How Good Were the Paydays for Bank Chiefs … and Shareholders?: DealBook Briefing', 'California Today: Six Decades of Jasper Johns at the Broad', 'Gunfire Erupts at a School. Leaders Offer Prayers. Children Are Buried. Repeat.', 'Nikolas Cruz, Florida Shooting Suspect, Showed ‘Every Red Flag’', '5 Tips to Weather a Turbulent Stock Market', 'A Familiar Editorial Split After Parkland Shooting, but Not Everywhere', 'Banks Urged to Take On Payday Lenders With Small, Lower-Cost Loans', 'Is It ‘Natural’? Consumers, and Lawyers, Want to Know', 'S.E.C. Blocks Chinese Takeover of Chicago Stock Exchange', 'Children’s Book Industry Has Its #MeToo Moment', 'If a Law Bars Asking Your Past Salary, Does It Help or Hurt?', 'Wynn Resorts Will Not Pay Steve Wynn Severance', 'Officer Loses, Then Regains, Job After Conflict Over Confederate and Mississippi Flags', 'F.B.I. Was Warned of Florida Suspect’s Desire to Kill but Did Not Act', 'Farhad’s Week in Tech: Netflix Gets a Star, and Google’s Conflicted Ad Blocker', 'Don’t Like Your Mortgage Servicer? Good Luck Trying to Switch', '7 Prison Guards in Pennsylvania Charged With Sexually Abusing Inmates', 'Trump Administration Proposes Stiff Penalties on Steel and Aluminum Imports', 'Gun Makers Are Reeling Even as Threat of Regulation Recedes', 'Patricia Frustaci, 63, Dies; Septuplets Put Her in Spotlight', '‘How Did This Happen?’: Grief and Fury After Florida Shooting', '‘Black Panther’ Poised to Shatter a Hollywood Myth', 'A Mother Weeps for Her Angel: ‘I Hope She Didn’t Die for Nothing’', 'Limiting Access to Guns for Mentally Ill Is Complicated', 'Mitt Romney Announces Senate Run, Saying Utah ‘Has a Lot to Teach’ Washington', 'Intrigue at V.A. as Secretary Says He Is Being Forced Out', 'Wakanda Is a Fake Country, but the African Language in ‘Black Panther’ Is Real', 'Read the Special Counsel’s Indictment Against the Internet Research Agency and Others', 'Russia Indictments: Read the Charges Against Richard Pinedo']"
17,2/17/2018,"['To Stir Discord in 2016, Russians Turned Most Often to Facebook', 'Jury Awards $38 Million to Family of Maryland Woman Shot by Police', 'Weinstein Company Fires David Glasser, Its President', 'In Florida, Extraordinary Obstacles for Changes to Gun Laws', 'Teacher Marries Her Girlfriend, and Then Catholic School Fires Her', 'Florida Agency Investigated Nikolas Cruz After Violent Social Media Posts', 'A Prisoner Got a Book Deal. Now the State Wants Him to Pay for His Imprisonment.', 'Copycat Threats and Jittery Nerves Force School Shutdowns Across the U.S.', 'On a Day Like Any Other at a Florida School, 6 Minutes of Death and Chaos', 'While Loading Gun at Florida School, Shooting Suspect Told Student ‘Better Get Out of Here’', 'A ‘Mass Shooting Generation’ Cries Out for Change', 'Prominent Republican Donor Issues Ultimatum on Assault Weapons', 'Mass Shooters Are All Different. Except for One Thing: Most Are Men.', 'Driven From Island Homes by Storms, Dialysis Patients Can Do Little but Wait', 'The Propaganda Tools Used by Russians to Influence the 2016 Election']"
18,2/18/2018,"['We Have Streaming Revenue, Too, Says NBC. And We Can Prove It.', 'Bitcoin Thieves Threaten Real Violence for Virtual Currencies', 'Family Who Took Florida Suspect In: ‘We Just Didn’t Know’', 'For Parents of Shooting Victims, a Support Network That Keeps Growing', 'As Victims Are Mourned in Florida, a Search for Solace, and Action', 'What Makes Public Radio ‘Very Personal’ Magnifies Its #MeToo Cases', '‘An Endless War’: Why 4 U.S. Soldiers Died in a Remote African Desert']"
19,2/19/2018,"['The C.E.O. Who Stood Up to President Trump: Ken Frazier Speaks Out', 'Court-Drawn Map in Pennsylvania May Lift Democrats’ House Chances', 'Finding Closed-Caption Content Online', 'School Shootings Put Teachers in New Role as Human Shields', 'Why A.I. Researchers at Google Got Desks Next to the Boss', 'Fact-Checking a Facebook Executive’s Comments on Russian Interference ', '1.5 Million Retirees Await Congressional Fix for a Pension Time Bomb', 'On Russia, Facebook Sends a Message It Wishes It Hadn’t', 'Tax Overhaul Gains Public Support, Buoying Republicans', 'Google Chrome Now Blocks Irksome Ads. That’s a Good Thing, Right?', 'A Short Market Week, Walmart Earnings and Warren Buffett’s Letter']"
20,2/20/2018,"['Questions for Facebook About Russia’s Use of Its Network', 'Sexual Misconduct Spurs New Elections: The #MeToo Races', 'Fox News Plans a Streaming Service for ‘Superfans’', 'Treating the Victims, and the Teenager Accused of Gunning Them Down', 'Clooney, Winfrey and Spielberg Donate Money for March Against Gun Violence', 'Albertsons Is Buying Rite Aid. Walmart’s Stock Falls. There’s a Common Rival.', 'How Banks Could Control Gun Sales if Washington Won’t', 'Come the Recession, Don’t Count on That Safety Net', 'State Officials Say They Are Told Too Little About Election Threats', 'Judge Deals AT&T a Setback: DealBook Briefing', 'Highlights: Students Call for Action Across Nation; Florida Lawmakers Fail to Take Up Assault Rifle Bill', 'Adding Ports to a Portable Computer', 'These Transgender Children Say They’re Thriving. They Want to Help Others Do the Same.', 'Walmart’s Online Sales Growth Lags as It Confronts Challenges', 'AT&T Loses Bid to Obtain White House Call Logs', 'Recent Commercial Real Estate Transactions', 'Qualcomm, Moving to Fend Off Broadcom, Raises Bid for NXP to $44 Billion', 'After Florida School Shooting, Russian ‘Bot’ Army Pounced', 'Philadelphia’s First Step to a Platform of Innovation']"
21,2/21/2018,"['St. Louis Police Offer Candy to Build Trust. Residents Say No Thanks.', 'What It Takes to Be a Whistle-Blower: DealBook Briefing', 'Florida School’s R.O.T.C. Lost 3 Cadets; Suspect Was a Member', 'The Atlantic Plans a Hiring Spree', 'Broadcom Retaliates Against Qualcomm for Raising Its NXP Bid', 'Signing Your Name in Digital Ink', 'Right-Wing Media Uses Parkland Shooting as Conspiracy Fodder', 'University Pulls Back on Pollution Study That Supported Its Benefactor', 'Florida Republicans Face Mounting Pressure to Act on Gun Control', 'D.C. Schools Chancellor Resigns Amid Outcry Over Daughter’s School Transfer', 'With Grief and Hope, Florida Students Take Gun Control Fight On the Road', 'Why We May Soon Be Living in Alexa’s World', 'Ford Ousts Chief of North American Unit for ‘Inappropriate Behavior’', 'The Making of a No. 1 YouTube Conspiracy Video After the Parkland Tragedy', '‘It’s One of the Greatest Rifles’: Fans of the AR-15 Explain the Gun’s Appeal', 'In an Era of ‘Smart’ Things, Sometimes Dumb Stuff Is Better', 'California Today: A Cherished Black Bookstore in a Changing South L.A.', 'Fed Officials Say Economy Is Ready for Higher Rates', 'Limiting the Influence of Tech When You Report on It', 'Florida Students Began With Optimism. Then They Spoke to Lawmakers.', 'NPR Executive Was Warned Repeatedly About Sexual Harassment, Report Finds', 'An Armed Principal Detained a Campus Gunman. But He’s Against Arming School Staff.', 'Feeling the Urge to Spend? Stop, Ponder and Let it Pass', '11 of the Most Dramatic Moments in a Day of Confrontation Over Guns', 'Good News: A.I. Is Getting Cheaper. That’s Also Bad News.']"
22,2/22/2018,"['Tony Mendoza, California Lawmaker, Resigns Over Sexual Harassment Claims', 'Michael Feinberg, a Founder of KIPP Schools, Is Fired After Misconduct Claims', 'Centrica, Britain’s Largest Energy Supplier, to Cut 4,000 Jobs', 'With Florida Shooting Survivors, N.R.A. Spokeswoman Holds Back. With Conservatives, It’s a Different Story.', 'Greece Approves Bribery Investigation Involving Political Elite', 'Leaping Over the Language Barrier', 'College Endowments Opt for Alternative, and Less Lucrative, Route', 'Margaret Brennan Named Host of ‘Face the Nation’ on CBS', 'Complaints About Nursing Home Evictions Rise, and Regulators Take Note', 'David Zwick, a Leading Clean-Water Advocate, Dies at 75', 'Sunroofs Are Growing in Size and Popularity. Rules Haven’t Kept Up.', 'Fosun Triumphs in Bidding War for Lanvin, Troubled Fashion House', 'In School Shooting’s Painful Aftermath, Sheriff Faces Questions Over Police Response', 'Bank and Enterprise Rent-a-Car to Cut Ties to N.R.A. After Customer Outcry', 'How to Challenge a Nursing Home Eviction Notice, and Other Tips', 'Marco Rubio Finds Himself at Center of Gun Debate, Again', 'Comedian Going to White House Correspondents’ Dinner. What About Trump?', 'Gov. Eric Greitens of Missouri Indicted on Invasion of Privacy Charge', 'A Student Is Being Investigated for Breaking Into His School. His Explanation: He Was Sleepwalking.', 'Should Teachers Carry Guns? Are Metal Detectors Helpful? What Experts Say', 'As Gunman Rampaged Through Florida School, Armed Deputy ‘Never Went In’', 'Toys ‘R’ Us, Seeking Stability, May Close 200 More Stores', 'Former Judge in Arkansas Receives 5 Years for Coercing Sexual Acts From Defendants', 'How to Liquidate a Failing Bank: DealBook Briefing', 'California Today: After Legalization, Dr. Dre’s ‘Weed Man’ Is Thriving', 'Rescuing Migrants Fleeing Through the Frozen Alps']"
